,Work,School,University,Leisure,Shopping,Accompany,Other
1.0,0.0,0.00047415836889521106,0.0,0.0020567667626491155,0.004430811179277436,0.024657534246575345,0.009523809523809523
2.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.013292433537832313,0.0136986301369863,0.028571428571428567
3.0,0.0,0.001422475106685633,0.0,0.0004113533525298232,0.008861622358554875,0.00684931506849315,0.0047619047619047615
4.0,0.0,0.0,0.0,0.0004113533525298232,0.005453306066803,0.00410958904109589,0.0047619047619047615
5.0,0.001553196997152472,0.0009483167377904221,0.0,0.00658165364047717,0.08384458077709611,0.15136986301369862,0.0761904761904762
6.0,0.0,0.0,0.0,0.0,0.00136332651670075,0.0013698630136986301,0.0
7.0,0.0,0.0,0.0,0.0,0.0037491479209270616,0.00684931506849315,0.0047619047619047615
8.0,0.0,0.0,0.0,0.0008227067050596463,0.003067484662576687,0.009589041095890413,0.01904761904761905
9.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0006849315068493152,0.009523809523809523
10.0,0.0012943308309603936,0.001422475106685633,0.0,0.009872480460715757,0.0650988411724608,0.08424657534246575,0.061904761904761914
11.0,0.0,0.0,0.0,0.0,0.0017041581458759373,0.0,0.0047619047619047615
12.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.002054794520547945,0.0
13.0,0.0,0.0,0.0,0.0008227067050596463,0.004430811179277436,0.0054794520547945215,0.0
14.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.002044989775051125,0.004794520547945207,0.0
15.0,0.0,0.001422475106685633,0.0,0.006993006993006993,0.04839809134287662,0.06438356164383563,0.06666666666666668
16.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
17.0,0.0,0.0,0.0,0.0004113533525298232,0.0017041581458759373,0.0013698630136986301,0.0047619047619047615
18.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.0017041581458759373,0.003424657534246575,0.0047619047619047615
20.0,0.002588661661920787,0.0,0.0,0.010283833813245578,0.043626448534424,0.0273972602739726,0.042857142857142864
21.0,0.0,0.0,0.0,0.0004113533525298232,0.0010224948875255623,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0010224948875255623,0.002054794520547945,0.0
23.0,0.0,0.0,0.0,0.0012340600575894696,0.002044989775051125,0.0013698630136986301,0.0
24.0,0.0,0.0,0.0,0.0,0.0010224948875255623,0.0,0.0
25.0,0.0002588661661920787,0.0,0.0,0.008638420403126285,0.04021813224267212,0.02054794520547945,0.01904761904761905
26.0,0.0,0.0,0.0,0.0004113533525298232,0.0006816632583503749,0.0006849315068493152,0.0
27.0,0.0,0.0,0.0,0.0020567667626491155,0.0017041581458759373,0.00410958904109589,0.0
28.0,0.0,0.0,0.0,0.0016454134101192926,0.0037491479209270616,0.0,0.0
29.0,0.0,0.0,0.0,0.002468120115178939,0.0010224948875255623,0.0006849315068493152,0.0
30.0,0.0018120631633445508,0.0,0.0,0.01192924722336487,0.056578050443081125,0.044520547945205484,0.042857142857142864
32.0,0.0,0.0,0.0,0.0004113533525298232,0.0010224948875255623,0.002054794520547945,0.0
33.0,0.0,0.0,0.0,0.0012340600575894696,0.0003408316291751875,0.0013698630136986301,0.0
34.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
35.0,0.0005177323323841574,0.0009483167377904221,0.0,0.00946112710818593,0.031015678254942062,0.03356164383561644,0.0047619047619047615
36.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0006849315068493152,0.0
37.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.002054794520547945,0.0
38.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0006816632583503749,0.0006849315068493152,0.0
39.0,0.0,0.0,0.0,0.0004113533525298232,0.0006816632583503749,0.0,0.0
40.0,0.001553196997152472,0.00047415836889521106,0.01818181818181818,0.013986013986013986,0.02862985685071575,0.03561643835616438,0.023809523809523808
41.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.0,0.0
42.0,0.0,0.0,0.0,0.0004113533525298232,0.0017041581458759373,0.0,0.0
43.0,0.0,0.0,0.0,0.0020567667626491155,0.00408997955010225,0.0013698630136986301,0.0047619047619047615
44.0,0.0,0.0,0.0,0.0004113533525298232,0.0010224948875255623,0.0,0.0
45.0,0.000776598498576236,0.00047415836889521106,0.0,0.013986013986013986,0.032038173142467624,0.02945205479452055,0.0380952380952381
46.0,0.0,0.0,0.0,0.0008227067050596463,0.0003408316291751875,0.0,0.0
47.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0006849315068493152,0.0
48.0,0.0,0.0,0.0,0.0,0.0010224948875255623,0.0013698630136986301,0.0047619047619047615
49.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
50.0,0.0005177323323841574,0.0,0.0,0.014808720691073632,0.04567143830947512,0.023972602739726026,0.014285714285714284
51.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.0006849315068493152,0.0
53.0,0.0,0.0,0.0,0.0016454134101192926,0.0017041581458759373,0.0,0.0
54.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
55.0,0.0005177323323841574,0.00047415836889521106,0.0,0.013574660633484163,0.027266530334015,0.025342465753424658,0.014285714285714284
56.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0008227067050596463,0.0023858214042263124,0.002054794520547945,0.0
58.0,0.0,0.0,0.0,0.004113533525298231,0.002044989775051125,0.0013698630136986301,0.0
59.0,0.0,0.0,0.0,0.0004113533525298232,0.00136332651670075,0.0,0.0
60.0,0.0023297954957287085,0.003319108582266477,0.0,0.02632661456190868,0.05044308111792775,0.045890410958904115,0.042857142857142864
61.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0006849315068493152,0.0
62.0,0.0,0.00047415836889521106,0.0,0.0,0.0003408316291751875,0.0006849315068493152,0.0
63.0,0.0,0.0,0.0,0.0012340600575894696,0.0,0.0,0.0
65.0,0.0010354646647683149,0.001422475106685633,0.0,0.013574660633484163,0.01772324471710975,0.02054794520547945,0.009523809523809523
66.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
67.0,0.0,0.0,0.0,0.0008227067050596463,0.00136332651670075,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0006849315068493152,0.0
69.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0006849315068493152,0.0
70.0,0.0018120631633445508,0.002844950213371266,0.0,0.02221308103661045,0.02283571915473756,0.015753424657534248,0.009523809523809523
71.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0020567667626491155,0.0010224948875255623,0.0,0.0
73.0,0.0,0.0,0.0,0.0012340600575894696,0.0017041581458759373,0.0013698630136986301,0.0
74.0,0.0002588661661920787,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
75.0,0.001553196997152472,0.005215742057847321,0.0,0.023035787741670092,0.018745739604635308,0.014383561643835616,0.0047619047619047615
76.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
77.0,0.0,0.00047415836889521106,0.0,0.0,0.0006816632583503749,0.0,0.0
78.0,0.0,0.0,0.0,0.0008227067050596463,0.0003408316291751875,0.0006849315068493152,0.0
79.0,0.0,0.0,0.0,0.0008227067050596463,0.0003408316291751875,0.0,0.0
80.0,0.0010354646647683149,0.001422475106685633,0.0,0.01974496092143151,0.024539877300613498,0.017123287671232876,0.028571428571428567
82.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0006849315068493152,0.0
83.0,0.0,0.00047415836889521106,0.0,0.0012340600575894696,0.0006816632583503749,0.0013698630136986301,0.0
84.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
85.0,0.000776598498576236,0.0037932669511616885,0.0,0.021801727684080625,0.015337423312883437,0.015753424657534248,0.023809523809523808
86.0,0.0,0.0,0.0,0.0016454134101192926,0.0003408316291751875,0.0,0.0
87.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0006816632583503749,0.0006849315068493152,0.0
88.0,0.0,0.00047415836889521106,0.0,0.003290826820238585,0.002044989775051125,0.0,0.0
89.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
90.0,0.0023297954957287085,0.00047415836889521106,0.0,0.031262854792266564,0.015337423312883437,0.01849315068493151,0.0047619047619047615
92.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
93.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
95.0,0.0005177323323841574,0.00047415836889521106,0.01818181818181818,0.01851090086384204,0.010906612133606,0.007534246575342466,0.0
96.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
97.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0006849315068493152,0.0
100.0,0.001553196997152472,0.0009483167377904221,0.0,0.027560674619498148,0.012610770279481936,0.008904109589041096,0.009523809523809523
101.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0006849315068493152,0.0
103.0,0.0,0.00047415836889521106,0.0,0.0,0.0003408316291751875,0.0,0.0
104.0,0.0002588661661920787,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
105.0,0.0020709293295366298,0.002370791844476055,0.01818181818181818,0.019333607568901685,0.019768234492160874,0.01780821917808219,0.014285714285714284
106.0,0.0,0.0,0.0,0.0008227067050596463,0.0003408316291751875,0.0,0.0
107.0,0.0,0.00047415836889521106,0.0,0.0,0.0006816632583503749,0.0,0.0
108.0,0.0,0.0,0.0,0.0016454134101192926,0.0,0.0,0.0
109.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.0,0.0
110.0,0.0023297954957287085,0.002844950213371266,0.0,0.024269847799259562,0.016700749829584187,0.010958904109589041,0.028571428571428567
111.0,0.0,0.0,0.0,0.0,0.0,0.0006849315068493152,0.0
113.0,0.0,0.0,0.0,0.0008227067050596463,0.0003408316291751875,0.002054794520547945,0.0
114.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0047619047619047615
115.0,0.0020709293295366298,0.001422475106685633,0.01818181818181818,0.02097902097902098,0.010565780504430812,0.010273972602739724,0.009523809523809523
117.0,0.0,0.0,0.0,0.0012340600575894696,0.0,0.0006849315068493152,0.0
118.0,0.0,0.0,0.0,0.002468120115178939,0.0003408316291751875,0.0,0.0047619047619047615
119.0,0.0,0.0,0.0,0.0016454134101192926,0.0,0.0006849315068493152,0.0
120.0,0.0036241263266891016,0.006164058795637743,0.0,0.023035787741670092,0.015337423312883437,0.01849315068493151,0.01904761904761905
122.0,0.0,0.0009483167377904221,0.0,0.0012340600575894696,0.0003408316291751875,0.0,0.0
123.0,0.0,0.0009483167377904221,0.0,0.0008227067050596463,0.0003408316291751875,0.0,0.0
125.0,0.002847527828112865,0.009957325746799429,0.0,0.008227067050596462,0.004771642808452625,0.00410958904109589,0.009523809523809523
126.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
127.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.0,0.0,0.0
128.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
130.0,0.0020709293295366298,0.012802275960170695,0.0,0.021801727684080625,0.006475800954328562,0.0061643835616438354,0.0
131.0,0.0,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
132.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
133.0,0.0,0.001422475106685633,0.0,0.0004113533525298232,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
135.0,0.004659590991457417,0.012328117591275486,0.0,0.02221308103661045,0.009884117246080435,0.002054794520547945,0.0047619047619047615
136.0,0.0,0.0,0.0,0.0012340600575894696,0.0,0.0,0.0
137.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.0,0.0,0.0
138.0,0.0,0.0009483167377904221,0.0,0.0,0.0,0.0006849315068493152,0.0
140.0,0.0023297954957287085,0.011379800853485065,0.0,0.01316330728095434,0.0071574642126789375,0.0027397260273972607,0.0
142.0,0.0,0.001422475106685633,0.0,0.0008227067050596463,0.0,0.0,0.0
143.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0006849315068493152,0.0
144.0,0.0002588661661920787,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
145.0,0.002847527828112865,0.011853959222380276,0.03636363636363636,0.019333607568901685,0.005453306066803,0.00410958904109589,0.0047619047619047615
146.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
147.0,0.0002588661661920787,0.0018966334755808442,0.0,0.0016454134101192926,0.0,0.0,0.0
148.0,0.000776598498576236,0.0,0.0,0.002468120115178939,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0004113533525298232,0.0006816632583503749,0.0,0.0
150.0,0.004400724825265339,0.022759601706970133,0.0,0.02632661456190868,0.011588275391956374,0.013013698630136988,0.0047619047619047615
151.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
152.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
153.0,0.0,0.0018966334755808442,0.0,0.0,0.0,0.0,0.0
154.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
155.0,0.0010354646647683149,0.021811284969179702,0.0,0.00946112710818593,0.004430811179277436,0.00410958904109589,0.0
156.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
157.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
158.0,0.0,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
159.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
160.0,0.001553196997152472,0.025604551920341397,0.0,0.01809954751131222,0.004771642808452625,0.003424657534246575,0.014285714285714284
161.0,0.0002588661661920787,0.0009483167377904221,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
162.0,0.0,0.0009483167377904221,0.0,0.0008227067050596463,0.0,0.0,0.0
163.0,0.0,0.001422475106685633,0.0,0.0016454134101192926,0.0,0.0,0.0
165.0,0.003365260160497023,0.013750592697961118,0.01818181818181818,0.01809954751131222,0.005453306066803,0.00410958904109589,0.0047619047619047615
166.0,0.0002588661661920787,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
167.0,0.0,0.0018966334755808442,0.0,0.0,0.0,0.0,0.0
168.0,0.0,0.0018966334755808442,0.0,0.0,0.0003408316291751875,0.0,0.0
170.0,0.00414185865907326,0.020388809862494073,0.01818181818181818,0.023035787741670092,0.0037491479209270616,0.0027397260273972607,0.0047619047619047615
172.0,0.0,0.0009483167377904221,0.0,0.0012340600575894696,0.0,0.0,0.0
173.0,0.0002588661661920787,0.0018966334755808442,0.0,0.0,0.0006816632583503749,0.0,0.0
174.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
175.0,0.003106393994304944,0.016121384542437174,0.0,0.013986013986013986,0.0034083162917518746,0.0006849315068493152,0.0047619047619047615
176.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0008227067050596463,0.0,0.0006849315068493152,0.0
177.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
178.0,0.000776598498576236,0.00047415836889521106,0.0,0.0016454134101192926,0.0,0.0,0.0
179.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
180.0,0.009319181982914834,0.013750592697961118,0.01818181818181818,0.011106540518305223,0.00408997955010225,0.0061643835616438354,0.023809523809523808
181.0,0.0,0.00047415836889521106,0.0,0.0,0.0006816632583503749,0.0,0.0
182.0,0.0,0.0,0.01818181818181818,0.0,0.0003408316291751875,0.0006849315068493152,0.0
183.0,0.0,0.0009483167377904221,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
184.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
185.0,0.004918457157649495,0.012328117591275486,0.0,0.007815713698066641,0.00408997955010225,0.00410958904109589,0.0
186.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
187.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
188.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
189.0,0.0,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
190.0,0.0038829924928811812,0.014224751066856332,0.01818181818181818,0.013574660633484163,0.004430811179277436,0.0013698630136986301,0.009523809523809523
193.0,0.0,0.001422475106685633,0.0,0.0008227067050596463,0.0,0.0,0.0
195.0,0.0036241263266891016,0.016595542911332386,0.0,0.014808720691073632,0.0010224948875255623,0.0013698630136986301,0.0047619047619047615
197.0,0.0,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
198.0,0.0,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
199.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
200.0,0.0038829924928811812,0.013276434329065908,0.01818181818181818,0.009872480460715757,0.0034083162917518746,0.002054794520547945,0.0047619047619047615
202.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
203.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
204.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
205.0,0.004659590991457417,0.007586533902323377,0.0,0.005758946935417524,0.0023858214042263124,0.004794520547945207,0.0047619047619047615
207.0,0.0005177323323841574,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
208.0,0.0005177323323841574,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
209.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
210.0,0.007765984985762361,0.013276434329065908,0.01818181818181818,0.01727684080625257,0.0027266530334015,0.00410958904109589,0.0047619047619047615
212.0,0.0002588661661920787,0.0009483167377904221,0.0,0.0004113533525298232,0.0,0.0,0.0
213.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
215.0,0.003365260160497023,0.006638217164532954,0.0,0.006993006993006993,0.0023858214042263124,0.0006849315068493152,0.0
218.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
220.0,0.00595392182241781,0.005689900426742532,0.0,0.00946112710818593,0.0027266530334015,0.0013698630136986301,0.0
222.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
223.0,0.0005177323323841574,0.001422475106685633,0.0,0.0004113533525298232,0.0,0.0,0.0
224.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
225.0,0.0075071188195702816,0.005689900426742532,0.03636363636363636,0.011517893870835048,0.00136332651670075,0.00410958904109589,0.01904761904761905
227.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
228.0,0.0002588661661920787,0.0009483167377904221,0.0,0.0008227067050596463,0.0,0.0,0.0
230.0,0.006730520320994046,0.012328117591275486,0.01818181818181818,0.011517893870835048,0.0023858214042263124,0.002054794520547945,0.0047619047619047615
233.0,0.0010354646647683149,0.0009483167377904221,0.0,0.0004113533525298232,0.0,0.0,0.0
235.0,0.006730520320994046,0.006638217164532954,0.054545454545454536,0.007815713698066641,0.0023858214042263124,0.0013698630136986301,0.0
237.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
238.0,0.0005177323323841574,0.0,0.0,0.0012340600575894696,0.0006816632583503749,0.0,0.0047619047619047615
239.0,0.000776598498576236,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
240.0,0.014237639140564327,0.01469890943575154,0.0,0.00946112710818593,0.00136332651670075,0.003424657534246575,0.0047619047619047615
241.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
242.0,0.000776598498576236,0.001422475106685633,0.01818181818181818,0.0,0.0,0.0006849315068493152,0.0
243.0,0.0002588661661920787,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
245.0,0.007248252653378203,0.011853959222380276,0.0,0.003290826820238585,0.0003408316291751875,0.0013698630136986301,0.0047619047619047615
246.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
247.0,0.0005177323323841574,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
249.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
250.0,0.009319181982914834,0.01469890943575154,0.01818181818181818,0.00658165364047717,0.0017041581458759373,0.0,0.0047619047619047615
251.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
252.0,0.000776598498576236,0.0,0.0,0.0012340600575894696,0.0,0.0,0.0
253.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
255.0,0.00802485115195444,0.013750592697961118,0.0,0.0053475935828877,0.00136332651670075,0.002054794520547945,0.0047619047619047615
256.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
257.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
258.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0008227067050596463,0.0,0.0,0.0
260.0,0.006730520320994046,0.009957325746799429,0.0,0.007404360345536816,0.0003408316291751875,0.0006849315068493152,0.014285714285714284
264.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
265.0,0.0075071188195702816,0.002844950213371266,0.01818181818181818,0.004936240230357878,0.0010224948875255623,0.0006849315068493152,0.0
267.0,0.0005177323323841574,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
268.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0006849315068493152,0.0
269.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.008801449650530677,0.004267425320056899,0.01818181818181818,0.006170300287947347,0.0010224948875255623,0.0013698630136986301,0.014285714285714284
272.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
273.0,0.0,0.0,0.01818181818181818,0.0004113533525298232,0.0,0.0,0.0
274.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
275.0,0.006730520320994046,0.0037932669511616885,0.0,0.002879473467708762,0.0,0.0,0.0
276.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
278.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0,0.0008227067050596463,0.0,0.0,0.0
280.0,0.0064716541548019675,0.0018966334755808442,0.0,0.003702180172768408,0.0006816632583503749,0.0013698630136986301,0.0
283.0,0.0005177323323841574,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
285.0,0.006212787988609888,0.003319108582266477,0.0,0.002468120115178939,0.0017041581458759373,0.0006849315068493152,0.0
287.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0
288.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
289.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
290.0,0.004918457157649495,0.0037932669511616885,0.01818181818181818,0.004113533525298231,0.00136332651670075,0.0006849315068493152,0.0
292.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
294.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.0,0.0
295.0,0.004918457157649495,0.003319108582266477,0.0,0.0020567667626491155,0.00136332651670075,0.0,0.0
296.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
297.0,0.0,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
298.0,0.0002588661661920787,0.0,0.0,0.0016454134101192926,0.0,0.0,0.0
300.0,0.01009578048149107,0.00474158368895211,0.03636363636363636,0.00658165364047717,0.0,0.0013698630136986301,0.0
301.0,0.0005177323323841574,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
302.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
303.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
