emd_zone;iris_zone;activity_amount
047024;672930000;14
047026;675390000;12
047027;675390000;5
047029;673720000;3
047030;672020000;3
047031;674440000;4
047032;674600000;26
047033;675160000;10
047034;675300000;15
047036;675340000;12
047037;675390000;19
047038;671530000;1
048001;670210102;15
048002;670210101;41
048002;670210102;145
048003;670210101;87
048003;670210102;93
048003;672950000;1
048004;670210101;135
048004;671890000;1
048005;670210101;11
048005;670210102;56
048006;670210102;68
048007;670210102;25
048008;671200000;2
048009;671200000;6
048010;671200000;7
048011;670600000;1
048011;671550000;43
048012;671890000;44
048013;672950000;33
048013;674290000;1
048014;671200000;1
048014;672950000;5
048015;674290000;55
048015;674810000;1
049001;670100000;4
049002;670100000;41
049003;670100000;11
049004;670100000;7
049005;670100000;11
049007;670510000;17
049008;670840000;13
049009;670840000;67
049010;670840000;78
049011;670840000;8
049012;670840000;2
049013;671250000;3
049014;671250000;95
049015;671250000;51
049016;671250000;2
049017;671250000;7
049018;671250000;7
049019;672100000;6
049020;672100000;25
049021;672100000;3
049022;672100000;2
049023;672270000;28
049024;673370000;32
049025;673870000;5
049026;674810000;58
050001;671800205;23
050001;672640000;1
050002;671800101;207
050002;671800102;39
050002;671800302;4
050003;671800101;82
050003;671800301;5
050004;671800101;1
050004;671800102;52
050004;671800301;5
050005;671800102;90
050006;671800102;58
050007;671800102;4
050007;671800201;17
050008;671800201;24
050008;671800202;4
050009;671800202;9
050010;671800201;6
050010;671800202;15
050011;671800301;1
050011;671800302;16
050012;671800101;4
050012;671800402;20
050012;671800403;14
050013;671800201;1
050013;671800501;15
050013;671800502;17
050014;671800501;29
050014;671800502;45
050015;671800301;13
050016;671800301;23
050017;671800301;37
050018;671800302;6
050019;671800302;12
050020;671800302;16
050021;671800205;2
050022;671800205;8
050022;671800402;24
050023;671800205;6
050023;671800401;2
050023;671800402;1
050024;671800402;6
050025;671800402;17
050025;671800403;6
050026;671800403;70
050026;671800404;4
050027;671800404;1
050027;671800501;34
050028;671800501;11
050029;671800404;4
050030;671800404;3
050030;671800502;2
050031;671800404;1
050031;671800503;15
050032;671800202;18
050033;671800203;53
050033;671800205;2
050034;671800203;1
050034;671800205;6
050035;671800205;4
050036;671800205;50
050036;672300000;2
050037;671800205;4
050038;671800205;11
050038;671800401;2
050039;671800205;3
050040;671800401;8
050041;671800402;7
050042;671800402;2
050043;671800301;16
050044;671800301;1
050045;671800202;1
050045;671800203;4
050045;671800204;22
050046;671800203;1
050046;671800204;3
050047;671800204;20
050048;671800204;6
050048;672300000;1
050049;671800204;1
050049;671800205;1
050050;671800205;1
050051;671800205;1
050052;671800203;28
051001;670460101;3
051001;670460102;2
051002;670460101;23
051002;670460102;23
051002;670460103;2
051002;670460104;11
051003;670460103;20
051003;670460104;10
051004;670460104;16
051004;670460105;14
051005;670460104;1
051005;670460105;26
051006;670460105;28
051007;670460105;11
051008;670460102;13
051008;670460104;7
051008;670460105;27
051009;670460102;7
051010;670460101;8
051010;670460102;11
051011;670460101;16
051013;670460103;13
051014;670460103;6
051015;670460103;2
051016;670460102;6
051017;670460102;3
051018;672300000;5
051019;672300000;60
051021;672300000;1
051024;672300000;1
051025;673450000;2
051026;673450000;16
051027;673450000;6
051028;673450000;28
051029;673450000;18
051030;670460102;2
051030;673450000;24
051031;674070000;2
051032;674070000;11
051033;674070000;10
051034;674490000;85
051035;674500000;11
052001;670120000;14
052002;670370000;8
052004;670690000;4
052005;670740000;1
052006;670750000;5
052007;670790000;5
052009;671040000;1
052010;671040000;1
052012;671840000;9
052013;671840000;21
052014;671840000;2
052016;672060000;6
052019;672060000;4
052021;672130000;2
052026;672540000;1
052028;672540000;10
052031;672570000;2
052032;672570000;2
052034;672630000;21
052036;672630000;1
052038;672630000;1
052039;672630000;2
052043;672900000;5
052044;672900000;2
052049;673270000;2
052052;673390000;8
052053;673390000;9
052054;673390000;38
052055;673390000;4
052056;673390000;1
052057;673390000;5
052058;673390000;1
052062;673390000;4
052063;673440000;6
052065;673490000;24
052068;673510000;2
052070;673510000;8
052071;673530000;5
052076;673790000;1
052080;674000000;2
052082;674000000;2
052083;674040000;6
052087;674320000;3
052089;674510000;11
052091;674510000;14
052092;674550000;14
052093;674660000;4
052094;674660000;2
052097;674740000;30
052098;674740000;7
052099;674740000;21
052100;674740000;1
052101;674740000;2
052102;674740000;7
052104;674790000;23
052105;673490000;1
052105;674840000;2
052108;674870000;4
052110;674870000;1
052112;674940000;2
052115;675370000;1
052116;675440102;1
052117;675440201;12
052118;675440102;3
052119;675440102;1
052120;675440101;3
052120;675440102;10
052121;675440102;56
052121;675440103;30
052122;675440101;92
052122;675440102;5
052122;675440103;1
052123;675440101;1
052123;675440102;34
052123;675440103;14
052124;675440103;2
052124;675440202;17
052125;675440103;1
052125;675440202;4
052126;675440202;17
052128;675440103;28
052130;675440102;5
052130;675440103;1
052131;675440202;7
052132;675440202;5
052133;675440202;2
052135;675440202;5
053002;670830000;2
053003;670830000;1
053006;670830000;1
053008;670930000;13
053009;671100000;1
053011;671100000;3
053012;671100000;2
053014;671100000;1
053015;671100000;1
053018;671320000;10
053019;671320000;1
053020;671410000;9
053021;671470000;12
053022;671600000;14
053023;671600000;9
053026;671740000;5
053027;671760000;1
053028;671760000;30
053030;671760000;5
053031;671760000;5
053032;671760000;21
053037;671760000;1
053038;671760000;6
053039;671760000;2
053041;671770000;1
053044;671860000;4
053045;672590000;5
053046;672600000;2
053048;672910000;4
053049;672910000;7
053050;672910000;6
053051;672910000;41
053052;672910000;28
053053;672910000;3
053056;672920000;8
053057;673030000;15
053058;673030000;1
053059;673240000;16
053060;673240000;11
053061;673240000;14
053062;673240000;18
053063;673240000;19
053064;673240000;19
053065;673240000;1
053066;673240000;7
053068;673240000;10
053069;673240000;9
053070;673240000;3
053072;673240000;3
053073;673240000;2
053074;673240000;4
053075;673400000;11
053076;673400000;18
053077;673400000;8
053078;673400000;3
053079;673400000;3
053081;673400000;2
053083;670930000;1
053083;673410000;3
053084;673580000;3
053086;673880101;3
053086;673880102;14
053087;673880101;44
053088;673880101;7
053088;673880102;1
053089;673880101;4
053090;673880101;1
053091;673880101;5
053092;673880102;11
053094;673880102;12
053095;673880102;19
053099;673880102;4
053100;673880102;12
053101;673880102;3
053102;674150000;3
053103;674150000;7
053106;675020000;4
053108;675110000;13
053109;675110000;1
053110;675110000;2
053112;675360000;3
053114;675500000;11
053115;675500000;9
053116;675500000;1
053117;675500000;1
053118;675500000;3
053120;675500000;9
053121;675500000;1
053123;675580000;5
053124;675580000;3
053125;675580000;2
054001;670230000;43
054002;670350000;4
054003;670480000;21
054005;670870000;2
054006;670870000;35
054007;670870000;4
054008;672030000;2
054009;672150000;8
054010;672380000;6
054011;673040000;1
054012;673280000;3
054013;673280000;3
054014;673280000;6
054017;673590000;1
054018;673590000;15
054019;673590000;16
054022;673280000;1
054022;673720000;57
054023;673720000;46
054024;673720000;24
054025;673720000;13
054026;673720000;2
054027;674580000;3
054028;674580000;51
054029;674580000;17
054030;674580000;16
054031;674580000;11
054032;674580000;23
054033;674580000;36
054034;674580000;1
054035;674580000;3
054036;671800205;10
054036;674580000;59
054037;674580000;4
054038;674580000;7
054039;674580000;3
054040;674580000;3
054041;674580000;3
054042;673720000;1
054043;673720000;3
054044;673720000;1
054045;673720000;2
054046;673720000;3
054047;673720000;1
054049;674970000;14
054051;674980000;4
054052;675100000;6
054053;673720000;24
054054;673720000;20
054056;675400000;21
054057;675460000;6
055001;670020000;10
055006;670290000;4
055010;670360000;10
055012;670470000;4
055013;670700000;5
055015;670720000;12
055016;670880000;5
055018;670950000;1
055019;670950000;14
055021;670950000;12
055022;670950000;2
055027;671050000;3
055028;671050000;11
055029;671050000;7
055031;671050000;5
055032;671110000;3
055034;671330000;3
055035;671330000;10
055036;671330000;2
055037;671340000;2
055038;671360000;5
055039;671480000;9
055039;674910000;1
055041;671780000;4
055042;671830000;30
055043;671910000;2
055044;671910000;31
055045;671910000;2
055046;671910000;6
055047;671910000;9
055048;671910000;5
055049;671910000;3
055050;671980000;12
055052;672010000;8
055054;672340000;10
055055;672340000;16
055059;672650000;1
055060;672650000;4
055064;672730000;3
055067;672780000;7
055069;673550000;40
055071;673700000;12
055072;673700000;7
055074;673710000;2
055075;673710000;8
055076;673710000;4
055079;673850000;11
055082;673920000;9
055083;673920000;5
055087;674010000;6
055089;674010000;1
055092;674340000;31
055093;674340000;10
055094;674340000;5
055095;674340000;1
055096;674340000;10
055097;674340000;12
055098;674340000;11
055099;674340000;14
055105;674540000;33
055109;674750000;6
055112;674880000;1
055114;674910000;2
055117;675140000;3
055119;675280000;10
055120;675280000;3
055123;675350000;2
055124;675350000;5
055125;675350000;1
055126;675380000;5
055127;675380000;6
055128;675380000;4
055129;675380000;8
055130;675380000;6
055136;675520000;3
056001;674370102;3
056002;674370103;44
056002;674370104;50
056003;673660000;2
056003;674370101;36
056004;674370101;16
056004;674370104;115
056004;674370105;5
056005;674370101;14
056005;674370102;5
056006;674370103;51
056006;674370105;6
056007;671610000;5
056007;674370103;105
056007;674370105;79
056008;673670000;2
056008;674370101;15
056008;674370104;2
056008;674370109;89
056009;674370102;18
056010;674370101;30
056011;674370101;18
056011;674370109;17
056012;674370105;6
056012;674370109;17
056013;674370101;2
056013;674370104;8
056013;674370105;66
056013;674370109;11
057001;670440000;5
057002;670610000;3
057003;670610000;84
057004;670610000;24
057005;670610000;16
057006;670610000;15
057007;670610000;6
057008;670610000;2
057009;670610000;1
057010;670610000;1
057011;670610000;4
057012;670610000;9
057013;670680000;9
057014;671030000;1
057015;671030000;41
057016;671850000;18
057017;672220000;2
057018;672220000;43
057019;672220000;42
057020;672220000;62
057021;672220000;7
057022;672220000;8
057023;672220000;16
057026;672220000;35
057027;672220000;2
057029;672420000;20
057030;670570000;41
057032;673070000;1
057033;673220000;2
057034;673220000;5
057035;673220000;1
057037;673330000;20
057038;673470000;2
057039;673470000;8
057041;673470000;4
057042;673520000;26
057043;673800000;12
057044;671350000;1
057044;674030000;17
057045;674410000;13
057046;674460000;7
057047;675030000;8
057048;675210000;24
057049;675240000;17
058001;670040000;25
058002;670060000;3
058003;670040000;3
058005;670890000;33
058006;670890000;1
058007;670890000;21
058008;670890000;16
058009;670890000;3
058010;670890000;1
058011;670890000;1
058012;670890000;5
058013;670890000;1
058014;670960000;1
058015;671170000;11
058016;671290000;6
058017;671450000;8
058018;671490000;3
058019;671610000;2
058020;671620000;1
058021;671790000;2
058025;672580000;15
058026;672690000;3
058027;672720000;7
058028;672750000;4
058029;672750000;11
058030;672750000;4
058034;672830000;4
058035;672830000;68
058036;672830000;14
058037;672830000;59
058038;672830000;3
058039;672830000;77
058040;673020000;5
058041;673020000;90
058042;673020000;8
058043;673020000;11
058044;673020000;19
058045;673020000;4
058046;673020000;2
058047;673020000;4
058048;673660000;17
058050;673670000;24
058051;673670000;4
058052;673670000;3
058052;674370105;1
058054;673670000;2
058055;673670000;1
058056;673910000;7
058057;673910000;8
058059;673950000;17
058060;674230000;9
058061;674250000;23
058063;674590000;23
058064;670040000;9
058066;674780000;2
058067;674780000;16
058068;674780000;11
058069;674780000;15
058070;674780000;4
058071;674780000;1
058073;674890000;1
058074;674890000;5
058075;675150000;5
058076;675270000;1
058077;675530000;4
059001;670770000;29
059002;670780000;7
059004;671220000;47
059005;671220000;2
059007;671220000;7
059009;672080000;25
059009;672530000;1
059010;672290000;30
059011;673830000;7
059012;674080000;2
059013;674080000;38
059014;674080000;3
059016;675200101;7
059016;675200102;3
059017;675200101;97
059017;675200102;50
059018;675200101;16
059018;675200102;34
059019;675200101;70
059020;675200101;4
059020;675200102;11
059021;675200101;11
059021;675200102;8
059022;675200101;85
059022;675200102;14
059023;675200101;40
059024;675200101;13
059025;675200101;13
059026;675550000;37
060001;670280000;5
060002;670280000;41
060003;670280000;14
060004;670280000;27
060005;670280000;8
060006;670280000;16
060007;670280000;9
060008;670280000;4
060009;670280000;4
060009;672160000;2
060010;670550000;2
060011;670550000;29
060012;670550000;9
060013;670900000;10
060014;671460000;2
060018;671460000;14
060019;671540000;1
060020;671920000;9
060021;671920000;19
060023;672160000;3
060024;672160000;50
060025;672160000;3
060026;672160000;2
060027;672160000;1
060029;672330000;34
060030;672460000;1
060031;672460000;40
060032;672460000;2
060034;672850000;24
060036;672850000;6
060037;672850000;17
060038;672850000;11
060039;673970000;9
060040;673970000;29
060041;673970000;3
060042;673970000;8
060043;673970000;37
060044;673970000;9
060045;673970000;1
060046;673970000;1
060047;674120000;29
060048;674330000;5
060049;674640000;1
060050;674640000;2
060052;675450000;8
060065;OUT;1
061001;670200000;2
061002;670200000;17
061003;670260000;1
061004;670270000;7
061006;670590000;26
061008;670660000;37
061009;670660000;29
061010;670660000;40
061011;670660000;5
061012;670660000;2
061013;670660000;1
061015;670760000;2
061015;673840000;1
061021;671650000;1
061023;671880000;10
061026;672760000;4
061027;672760000;5
061030;673060000;8
061031;673140000;29
061033;673210000;1
061035;673250000;35
061036;673250000;2
061038;673420000;2
061039;673420000;18
061040;673420000;1
061041;673420000;1
061044;673770000;1
061047;673770000;1
061055;670200000;1
061055;674140000;14
061056;674140000;5
061058;674200000;15
061059;674200000;1
061060;674200000;3
061061;674200000;14
061062;674200000;2
061064;674210000;14
061065;674210000;4
061066;674210000;21
061071;674480000;21
061072;674480000;19
061073;674480000;9
061074;674480000;12
061075;674480000;4
061076;674700000;2
061077;674800000;8
061078;675000000;1
061079;673250000;1
061079;675000000;21
061080;675000000;5
061081;675000000;10
061082;675000000;1
061085;675310000;12
061087;675430000;9
061088;675430000;45
061089;675430000;10
061091;675430000;7
061094;675430000;7
061100;OUT;1
062001;674620102;1
062001;674620108;1
062001;674620109;13
062002;674620103;15
062003;674620105;30
062004;674620103;42
062004;674620105;4
062005;674620105;15
062006;674620103;61
062007;674620104;79
062008;674620104;43
062008;674620109;11
062009;674620102;85
062010;674620101;198
062011;674620101;100
062012;674620101;53
062013;674620109;17
062014;674620102;41
062014;674620109;4
062015;674620102;20
062015;674620109;18
062016;674620109;26
062017;674620107;14
062018;674620107;27
062019;674620107;24
062020;674620105;20
062020;674620106;45
062020;674620107;16
062021;674620106;8
062022;674620106;73
062023;674620106;65
062024;674620107;3
062025;674620105;20
062026;674620105;36
062027;674620109;16
062028;674620109;1
062029;674620109;2
062030;674620109;6
062031;674620105;11
062032;674620105;16
062033;674620105;7
062034;674620109;2
062035;674620105;6
062035;674620106;6
062036;674620106;5
062037;674620108;8
062038;674620108;4
062039;674620108;68
062040;674620108;50
062041;674620108;17
062041;674620109;1
062042;674620109;44
062043;674620109;5
063001;670110000;60
063002;670560000;9
063003;671210000;17
063004;671870000;12
063005;671950000;50
063007;672770000;30
063008;672810000;21
063009;672810000;80
063010;672810000;27
063011;672810000;78
063012;672810000;18
063013;672810000;66
063014;672810000;49
063015;672810000;3
063017;672810000;4
063018;672810000;4
063019;673600000;32
063020;673980000;4
063022;674220000;3
063023;674530000;20
063024;674860000;56
063043;OUT;1
064010;670730000;30
064011;670730000;238
064012;670730000;5
064013;670730000;7
064014;670730000;2
064015;670940000;6
064019;672390000;9
064020;670730000;1
064020;672390000;83
064021;672390000;5
064029;673170000;9
064031;672390000;1
064031;673620000;48
064031;674620109;1
064032;674450000;6
064033;674450000;59
064034;674450000;17
064035;674450000;87
064036;674450000;12
064039;675050000;3
064040;675050000;2
064042;675050000;5
065001;670030000;58
065002;670220000;19
065004;670630000;24
065006;670920000;9
065007;670920000;9
065009;671430000;10
065010;671430000;2
065011;672550000;20
065012;672550000;8
065013;672550000;12
065014;672800000;30
065015;673200000;1
065016;673200000;25
065017;673200000;2
065019;674260000;13
065021;674270000;16
065022;674270000;7
065024;674300000;8
065025;674300000;14
065026;674300000;2
065027;674300000;5
065028;674770000;22
065029;674900000;4
065030;674900000;21
065032;674900000;1
065033;674930000;28
065034;674930000;2
065035;674930000;12
065036;674990000;3
065038;674260000;1
065038;675070000;93
065039;675070000;58
065040;675070000;7
065041;673200000;2
065041;675070000;5
066004;670250000;2
066005;670250000;16
066006;670250000;10
066007;670250000;28
066009;670250000;2
066010;670250000;1
066011;670250000;12
066012;670250000;11
066024;671130000;5
066025;671130000;7
066026;671400000;8
066037;672310000;3
066038;672350000;2
066039;672610000;6
066040;672610000;10
066041;672610000;17
066042;672610000;26
066043;672610000;1
066044;672610000;1
066045;672610000;3
066046;672640000;10
066047;673050000;1
066048;673050000;25
066049;673050000;26
066051;673050000;1
066052;673050000;2
066054;673080000;3
066055;673080000;4
066058;673150000;4
066059;673190000;8
066060;673300000;1
066061;673460000;34
066067;674050000;1
066068;674050000;6
066069;674050000;6
066070;674050000;54
066071;674050000;5
066072;674090000;1
066074;674090000;12
066081;674430000;3
066082;674430000;1
066083;674400000;1
066083;674630000;2
066084;674630000;8
066085;674630000;14
066086;674630000;27
066087;674630000;42
066090;674630000;27
066105;675410000;16
067002;674180000;10
067003;674180000;23
067013;670820000;8
067014;671060000;4
067015;671060000;5
067016;671060000;5
067017;671060000;10
067018;671060000;37
067019;671060000;36
067020;671060000;1
067021;671060000;4
067022;671060000;1
067027;671420000;6
067028;671940000;11
067029;671940000;39
067030;671940000;10
067031;671940000;44
067032;671940000;49
067033;671940000;11
067034;671940000;13
067035;671940000;51
067036;671940000;2
067063;673560000;17
067064;673560000;14
067065;673560000;22
067075;674180000;1
067076;674180000;16
067077;674180000;22
067092;674650000;31
067093;674650000;29
067094;674720000;3
067095;674720000;44
067096;674720000;26
067097;671800205;1
067097;674720000;41
067098;674720000;13
067099;674720000;1
067100;674720000;4
067101;674720000;13
067102;674720000;24
067104;674760000;5
068001;670190000;9
068002;670190000;21
068003;670190000;2
068005;670400000;3
068006;670400000;56
068007;670400000;1
068009;670530000;5
068016;671150000;112
068017;671160000;18
068018;671960000;64
068022;673100000;16
068023;673110000;9
068024;673110000;83
068026;673110000;2
068027;673110000;2
068038;674610000;5
068044;675470000;2
068047;675470000;102
207001;OUT;1
210001;OUT;5
700001;OUT;23
700002;OUT;15
700005;OUT;6
700011;OUT;1
700014;OUT;1
700015;OUT;1
700038;OUT;14
700042;OUT;2
700046;OUT;1
700050;OUT;1
700052;OUT;12
700053;OUT;2
700056;OUT;1
700061;OUT;1
700062;OUT;2
700069;OUT;1
700076;OUT;2
700081;OUT;9
700086;OUT;1
700087;OUT;2
700099;OUT;5
700105;OUT;1
700107;OUT;1
700109;OUT;14
700114;OUT;1
700116;OUT;9
700117;OUT;3
700121;OUT;1
700124;OUT;1
700129;OUT;2
700130;OUT;8
700158;OUT;1
700999;OUT;165
800001;OUT;30
800002;OUT;1
800005;OUT;2
800006;OUT;4
800007;OUT;2
800009;OUT;13
800010;OUT;11
800011;OUT;9
800012;OUT;2
800013;OUT;4
800014;OUT;2
800016;OUT;1
908105;OUT;2
917002;OUT;5
921231;OUT;1
925159;OUT;1
925204;OUT;1
939065;OUT;1
951454;OUT;1
954329;OUT;1
954395;OUT;9
957046;OUT;1
957087;OUT;1
957089;OUT;2
957159;OUT;1
957163;OUT;3
957169;OUT;2
957207;OUT;1
957209;OUT;1
957227;OUT;2
957250;OUT;1
957291;OUT;2
957410;OUT;2
957427;OUT;1
957456;OUT;1
957462;OUT;1
957463;OUT;11
957484;OUT;2
957535;OUT;1
957540;OUT;8
957541;OUT;1
957566;OUT;1
957589;OUT;1
957628;OUT;16
957630;OUT;14
957631;OUT;15
957644;OUT;1
957658;OUT;1
957703;OUT;1
957711;OUT;2
967005;OUT;2
967009;OUT;8
967017;OUT;3
967026;OUT;1
967073;OUT;1
967081;OUT;1
967148;OUT;1
967159;OUT;1
967220;OUT;5
967279;OUT;1
967293;OUT;1
967312;OUT;1
967381;OUT;2
967471;OUT;1
967543;OUT;1
968004;OUT;1
968007;OUT;1
968012;OUT;1
968014;OUT;1
968015;OUT;1
968018;OUT;1
968020;OUT;1
968028;OUT;7
968029;OUT;1
968036;OUT;4
968044;OUT;1
968063;OUT;2
968066;OUT;84
968068;OUT;2
968078;OUT;1
968082;OUT;2
968091;OUT;1
968102;OUT;1
968112;OUT;1
968113;OUT;1
968135;OUT;1
968140;OUT;1
968146;OUT;1
968147;OUT;1
968149;OUT;2
968151;OUT;1
968157;OUT;1
968163;OUT;1
968166;OUT;1
968172;OUT;2
968185;OUT;10
968188;OUT;1
968196;OUT;1
968209;OUT;1
968224;OUT;21
968227;OUT;2
968231;OUT;5
968235;OUT;1
968242;OUT;1
968252;OUT;2
968269;OUT;12
968277;OUT;1
968285;OUT;3
968287;OUT;3
968294;OUT;4
968295;OUT;4
968296;OUT;7
968297;OUT;1
968298;OUT;11
968300;OUT;1
968307;OUT;1
968331;OUT;1
968338;OUT;1
968350;OUT;1
968352;OUT;1
968360;OUT;1
968367;OUT;1
968376;OUT;2
968379;OUT;1
969007;OUT;1
969901;OUT;1
975008;OUT;1
975010;OUT;2
975101;OUT;1
975110;OUT;2
977514;OUT;1
988075;OUT;2
988081;OUT;1
988160;OUT;1
988413;OUT;3
988451;OUT;1
988501;OUT;1
993001;OUT;1
